text,label
Your Uber ride with driver Suresh is arriving in 3 minutes. Vehicle number KA-01-MJ-4820.,1
Your Zomato order from Spice Garden is out for delivery. Delivery executive contact: 9876501234.,1
Your ticket booking for movie at PVR Cinemas is confirmed. Booking ID: PVR89201.,1
Your Flipkart shipment is out for delivery today. Use OTP 4812 to accept parcel from delivery agent.,1
Your diagnostic lab test report is ready. Download your digital PDF from the official Apollo portal.,1
Your LPG gas cylinder booking reference #89120 has been registered. Expected delivery in 2 business days.,1
"OTP is 492018 for your transaction of Rs 1,200 at HDFC Bank card ending 4012. Valid for 10 mins. Do not share with anyone.",1
"Dear customer, your salary of Rs 85,000 has been credited to your ICICI bank account XX9012 on 01-Sep-2026.",1
"Your SBI Credit Card statement for August 2026 is generated. Total amount due: Rs 4,320. Due date: 20-Sep-2026.",1
"Alert: You spent Rs 350 at Starbucks using Paytm UPI. Available balance: Rs 14,250.",1
Your Axis Bank e-statement for account ending 5541 has been sent to your registered email address.,1
"Dear user, 1000 INR debited from your account via ATM cash withdrawal at MG Road branch.",1
"Your mutual fund SIP of Rs 5,00,000 has been successfully executed for Zerodha account ending 9120.",1
"Your loan EMI of Rs 12,450 for vehicle loan has been auto-debited from your bank account.",1
"Dear customer, your fixed deposit of Rs 1,00,000 has matured and credited to your savings account.",1
Domino's Special Offer: Get 20% off on medium pizzas using code PIZZA20 on our official Domino's app today.,1
Myntra End of Season Sale: Flat 50% discount on top fashion brands starting midnight. Visit official Myntra app.,1
Book your flight ticket on MakeMyTrip and get flat Rs 500 cashback with HDFC bank cards.,1
Flat 10% instant discount on electronics at Croma physical stores this weekend.,1
Book movie tickets on BookMyShow and get 1-for-1 offer using ICICI debit card on weekends.,1
Enjoy 15% discount on your next ride with Ola using coupon code RIDE15.,1
"Local authorities opened a new public library in the downtown area with over 50,000 books and free internet access.",1
Apple held its annual developer conference where they introduced new software features for iPhone and Mac users.,1
The home team won the championship game last night with a final score of 3 to 1 in overtime.,1
Tomorrow will be partly cloudy with temperatures reaching a high of 75 degrees and light breeze.,1
The city transit authority expanded bus routes to improve connectivity across residential suburbs.,1
The community farmers market will feature fresh organic produce and local crafts every Saturday morning.,1
Sony announced its next-generation gaming console update with improved graphics and faster loading speeds.,1
The municipal water board reported that tap water quality tests met all state safety standards this quarter.,1
"According to a study published in the New England Journal of Medicine, researchers found that regular cardiovascular exercise reduces heart disease risk by 32 percent across diverse age groups.",1
The World Health Organization confirmed that global polio vaccination campaigns have reduced wild poliovirus cases by over 99 percent since 1988.,1
Clinical trial results published in The Lancet demonstrate that the new mRNA malaria vaccine achieved 77 percent efficacy in pediatric trials across three West African countries.,1
"The Federal Reserve announced a 25 basis point interest rate adjustment following the Federal Open Market Committee meeting, citing moderation in core inflation figures.",1
NASA scientists announced the discovery of a terrestrial exoplanet in the habitable zone of a nearby star system after analyzing spectrographic data from the James Webb Space Telescope.,1
The Environmental Protection Agency released its annual emissions report indicating a 3.2 percent decline in nationwide greenhouse gas emissions.,1
"According to the Bureau of Labor Statistics, non-farm payroll employment increased by 216,000 jobs in December, while the national unemployment rate held steady at 3.7 percent.",1
European Space Agency officials confirmed that the automated cargo resupply spacecraft successfully docked with the International Space Station.,1
"Congratulations! You have won ₹10,00,000 in our lucky draw. Click here to claim your prize now!",0
"CONGRATULATIONS! You have been selected as the official lucky winner of $1,000,000 in our international lottery! Transfer $250 processing fee immediately to claim your prize now.",0
Congratulations you won a free iPhone 15 Pro Max! Click this link to confirm your delivery address and pay only $10 shipping fee right now.,0
You are chosen for a free gift card worth $500. Click here to claim your reward.,0
"URGENT: Win ₹25,00,000 cash bonus now. Click link to claim.",0
"Congratulations user! You were randomly selected for a $1,000 Walmart gift card. Complete the survey and provide your credit card to verify eligibility.",0
"You won! Send ₹10,00,000 payment to unlock your free phone delivery to your address.",0
CLAIM YOUR FREE REWARD! You have 1 unclaimed $500 Amazon gift voucher. Click http://claim-reward-now.xyz to redeem before midnight!,0
"Lucky draw alert: You won 50,00,000 INR from KBC jackpot! Call WhatsApp manager immediately at 9182391203 to claim.",0
You have been selected as our top shopper of the month! Click here http://free-gift-shop.net to claim your free laptop immediately.,0
CONGRATS! You won a $250 voucher from Target. Simply complete this 1 minute survey and enter your credit card info for shipping: http://target-survey.org,0
"Dear user, you won 1st prize in Spin & Win contest! Transfer Rs 500 registration charge to claim Rs 50,000 cash in account.",0
WINNER ANNOUNCEMENT: Your mobile number won 25 Lakhs cash in Kaun Banega Crorepati mega draw. Contact manager Rahul on WhatsApp.,0
Instant reward: Spin the wheel and win a guaranteed Samsung Galaxy S24! Claim your prize now at http://spin-win-reward.biz,0
"You have 1 pending reward points worth Rs 4,500 expiring today. Redeem cash directly to your bank account at http://rewards-redeem-online.com",0
URGENT NOTICE: Your bank account has been flagged for suspicious activity. Click here right now and verify your online banking password and OTP to prevent immediate account termination.,0
"Dear customer, your electricity power will be disconnected tonight. Call officer at 9876543210.",0
Your SBI Bank account is blocked due to KYC. Click link to update PAN card immediately.,0
"Dear user, your SIM card will be deactivated today. Call customer care immediately.",0
FINAL WARNING: Your electric utility service will be permanently disconnected within 1 hour unless you immediately send payment via Bitcoin voucher.,0
"Pre-approved loan of ₹5,00,000 approved at 0% interest. Click here to disburse immediately.",0
"You received a $5,00,000 federal grant approved by the treasury. Send your full social security number and $100 processing charge to receive wire transfer.",0
"Lucky prize alert: You won ₹5,00,000 cash reward. Send your PAN card and bank details with ₹2,500 security deposit to release payment.",0
Urgent package delivery pending: We could not deliver your parcel due to invalid address. Click here to confirm personal details and pay redelivery fee.,0
Inheritance fund notification: You are named as sole beneficiary for 2.5 million dollars. Send your passport copy and release fee.,0
HDFC Security Warning: Unauthorized login attempt detected from Russia. Click http://hdfc-security-fix.com to change your password immediately.,0
"Dear ICICI user, your netbanking access is suspended. Update your Aadhaar and PAN card at http://icici-verify-kyc.net within 24 hours.",0
ALERT: Your Netflix subscription payment failed! Update your credit card details immediately at http://netflix-billing-update.com to avoid account deactivation.,0
PayPal Alert: Your account has been restricted due to unauthorized transactions. Verify your identity now at http://paypal-security-center.info,0
TRAI Notice: Your mobile number will be blocked within 2 hours due to illegal activities. Call TRAI officer immediately at 9182390123.,0
India Post Alert: Your parcel #IN90123 is held at customs due to unpaid tax of Rs 48. Pay now at http://indiapost-redelivery.org to avoid return.,0
"Axis Bank Security: Suspicious transaction of Rs 45,000 detected on your credit card. If not done by you, immediately verify at http://axis-verify-login.org",0
"Income Tax Refund: You are eligible for tax refund of Rs 15,480. Click http://incometax-refund-claim.gov.in-verify.xyz to enter bank account details.",0
FedEx Notice: Package delivery failed due to incorrect house number. Confirm address and pay $1.99 redelivery fee at http://fedex-parcel-track.info,0
Bank of Baroda Alert: Your debit card is blocked. Download BOB World APK file from link http://bob-mobile-app.xyz to unblock.,0
Apple ID Security: Your iCloud account has been locked. Verify your password and security questions at http://apple-id-verify-auth.com,0
"Challan Alert: Traffic police issued e-challan of Rs 2,000 for your vehicle. Pay immediately at http://echallan-parivahan-pay.xyz to avoid court summons.",0
Limited-time investment opportunity! Double your money in 7 days. Join now!,0
"Exclusive opportunity: Make $15,000 per week working only 20 minutes a day from your phone! Send ₹5,000 registration fee to activate your automated crypto bot.",0
"Earn ₹5,000 daily working 1 hour from home. No experience needed. Join Telegram.",0
Part time job: Earn 3000 to 5000 per day from mobile. Contact WhatsApp.,0
Send 1000 rupees to receive 10000 rupees tomorrow guaranteed.,0
Double your cryptocurrency in 24 hours! Send 0.1 BTC to the designated smart contract address and receive 0.2 BTC back instantly guaranteed!,0
"Guaranteed binary options trading profit: Deposit $200 today and withdraw $3,000 daily with our automated algorithm.",0
Amazon hiring online rating staff! Work 30 mins daily from home and earn 5000 Rs per day. No skills required. WhatsApp 9988776655 now.,0
"Invest 5000 INR in our AI automated trading app and get 50,000 INR guaranteed returns in 48 hours! Limited slots left.",0
YouTube like and subscribe job! Earn Rs 50 per video liked. Daily payout up to Rs 4000. Join Telegram channel http://t.me/earnmoneyfast,0
"Data entry work from home: Earn 25,000 per month typing simple captcha. No experience required. Pay refundable deposit of Rs 1,500 to get work materials.",0
Stock market insider tips guaranteed 100% upper circuit stocks daily! Join our exclusive VIP WhatsApp group for 10x returns: http://chat.whatsapp.com/inv123,0
Earn 500 USD per day working from home using Google search engine rating. Click http://google-search-jobs.online to apply now.,0
"Forex trading signals 99% accuracy! Turn $100 into $5,000 in 3 days. Join our VIP Telegram channel today.",0
"Online hotel rating job: Review luxury hotels on Google Maps and earn 3,000 Rs daily. Contact HR on Telegram @hoteljobs2026",0
SHOCKING: You will never believe what doctors just admitted! This simple kitchen spice cures diabetes and cancer in 48 hours and Big Pharma is desperately trying to hide the secret from you!,0
MUST READ: Famous celebrity caught red-handed in horrifying scandal that the mainstream media is desperately trying to bury from the public!,0
VIRAL: Woman lost 45 pounds in just 4 days without exercise using this one weird ancient trick that nutritionists want banned immediately!,0
EXCLUSIVE: Secret leaked video exposes what really happened behind closed doors at the summit! You will be horrified by the truth!,0
BREAKING: Scientists reveal that eating this common everyday fruit is secretly destroying your liver and aging your skin by 20 years overnight!,0
UNBELIEVABLE: Miracle water drops restore 20/20 vision in 3 days! Eye surgeons hate this man for sharing the forbidden recipe!,0
WARNING: Throw away your microwave immediately! New whistleblower evidence shows it emits deadly cosmic radiation that alters human DNA!,0
TOP SECRET: Billionaires are building underground bunkers because a hidden asteroid is scheduled to collide with Earth next Tuesday!,0
"EXCLUSIVE: Declassified military files prove that the moon landings were completely filmed on a Hollywood sound stage to trick rival nations, and secret elites are covering up the truth!",0
Chemtrails revealed: Government planes are secretly spraying mind-control chemicals and synthetic pathogens over residential neighborhoods to reduce population!,0
SHOCKING PROOF: 5G cell towers are transmitting subliminal biometric frequencies designed to manipulate citizen behavior and disable immune systems!,0
The World Economic Forum is executing a covert master plan to ban all cash currency and replace it with microchips implanted under citizens' skin!,0
"Ancient pyramid texts deciphered by independent researchers prove that human civilization was engineered by reptilian extraterrestrials 5,000 years ago!",0
BOMBSHELL REPORT: All weather satellites are completely fake! Earth is actually surrounded by a giant glass dome controlled by secret elites!,0
Whistleblower inside the government exposes secret military weather machines causing all earthquakes and hurricanes across the globe!,0
EXPOSED: Leading world leaders have already been replaced by biological clones operating from underground cloned facilities!,0
"Drinking pure chlorine dioxide solution 3 times a day is proven to cure autism, arthritis, and all viral infections according to suppressed holistic healers!",0
Wearing face masks causes carbon dioxide poisoning and permanent brain damage within 10 minutes according to holistic freedom advocates!,0
